fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,47037,TN,Department of Defense,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,true,false,false,44200.54
2021,35013,NM,Department of Defense,712110,MUSEUMS,true,false,false,2261696.03
2021,12031,FL,Department of Defense,562991,SEPTIC TANK AND RELATED SERVICES,true,false,false,8100.0
2021,17143,IL,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,935138.1599999999
2021,13179,GA,Department of Defense,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,false,336636.45
2021,51153,VA,Department of State,519130,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,true,false,true,2516377.2199999997
2021,24021,MD,Department of Defense,334418,PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING,true,true,false,77038.2
2021,27053,MN,Department of the Treasury,561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),true,false,false,106836.02
2021,51510,VA,Department of Commerce,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,false,false,10713630.23
2021,10003,DE,Department of Defense,335931,CURRENT-CARRYING WIRING DEVICE MANUFACTURING,true,false,false,41175.95
2021,12057,FL,Department of Defense,541330,ENGINEERING SERVICES,true,false,false,4036429.63
2021,21111,KY,Department of Defense,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",true,false,false,989500.0
2021,48453,TX,Department of Homeland Security,337211,WOOD OFFICE FURNITURE MANUFACTURING,true,false,false,782244.85
2021,12009,FL,Department of Defense,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,false,82263.90000000001
2021,24005,MD,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,false,false,43179.02999999999
2021,47001,TN,Department of Energy,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,703177.99
2021,18005,IN,Department of Defense,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,true,false,false,1675.0
2021,37063,NC,Department of Health and Human Services,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,9572055.8
2021,34027,NJ,Department of Defense,334512,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",true,false,true,63591.689999999995
2021,48201,TX,General Services Administration,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,1165544.6099999999
2021,49053,UT,Department of the Interior,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,true,59129.439999999995
2021,48201,TX,Department of Justice,221210,NATURAL GAS DISTRIBUTION,true,false,false,0.0
2021,06071,CA,Department of Agriculture,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,true,false,false,108888.0
2021,37159,NC,Department of Defense,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,true,64420.97
2021,19163,IA,Department of Defense,332710,MACHINE SHOPS,true,false,false,43025.0
2021,42091,PA,Department of Defense,337211,WOOD OFFICE FURNITURE MANUFACTURING,true,true,false,1886328.5
2021,51107,VA,Department of Justice,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,24082319.930000003
2021,05027,AR,General Services Administration,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,false,18931.44
2021,51059,VA,Department of Defense,336992,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",true,false,false,2911014.05
2021,04019,AZ,Department of Agriculture,481211,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,true,true,false,1609100.0
2021,48085,TX,Department of the Interior,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,true,false,false,49102.0
2021,11001,DC,Department of Defense,511210,SOFTWARE PUBLISHERS,true,false,true,2116031.0700000003
2021,08041,CO,Department of Defense,562112,HAZARDOUS WASTE COLLECTION,true,false,false,50850.0
2021,33013,NH,Department of Defense,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",true,true,false,12843.0
2021,37133,NC,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,4689908.0
2021,04001,AZ,Department of the Interior,336991,"MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING",true,false,false,29415.0
2021,17097,IL,Department of Defense,339114,DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,true,false,false,6820.0
